layer,pos,target,n,auc
20,46,refused_vs_rest,270,0.8364197530864198
20,47,leaked_vs_not,270,0.7032110857588069
20,47,leaked_vs_approp,234,0.6711880635123275
20,47,refused_vs_rest,270,0.8182573599240266
20,48,leaked_vs_not,270,0.7017641493683566
20,48,leaked_vs_approp,234,0.6729434293465252
20,48,refused_vs_rest,270,0.825735992402659
20,49,leaked_vs_not,270,0.6797818465134398
20,49,leaked_vs_approp,234,0.6546716667996489
20,49,refused_vs_rest,270,0.8258547008547009
20,50,leaked_vs_not,270,0.7117814013022428
20,50,leaked_vs_approp,234,0.6942471874251975
20,50,refused_vs_rest,270,0.7431149097815765
20,51,leaked_vs_not,270,0.6867382714675273
20,51,leaked_vs_approp,234,0.6841937285566105
20,51,refused_vs_rest,270,0.7700617283950617
20,52,leaked_vs_not,270,0.7036006455562359
20,52,leaked_vs_approp,234,0.6437405250139632
20,52,refused_vs_rest,270,0.7590218423551757
20,53,leaked_vs_not,270,0.6821748566976459
20,53,leaked_vs_approp,234,0.6478097821750578
20,53,refused_vs_rest,270,0.7795584045584045
20,54,leaked_vs_not,270,0.6785575157215203
20,54,leaked_vs_approp,234,0.6374371658820713
20,54,refused_vs_rest,270,0.8656220322886989
20,55,leaked_vs_not,270,0.6618064444320775
20,55,leaked_vs_approp,234,0.639910635921168
20,55,refused_vs_rest,270,0.8030626780626781
20,56,leaked_vs_not,270,0.6616394902331794
20,56,leaked_vs_approp,234,0.6979174978057927
20,56,refused_vs_rest,270,0.8097103513770181
20,57,leaked_vs_not,270,0.6195670321108576
20,57,leaked_vs_approp,234,0.6678369105561319
20,57,refused_vs_rest,270,0.8029439696106362
20,58,leaked_vs_not,270,0.6799488007123379
20,58,leaked_vs_approp,234,0.6533152477459507
20,58,refused_vs_rest,270,0.8198005698005698
20,59,leaked_vs_not,270,0.6411041237687127
20,59,leaked_vs_approp,234,0.6347243277746749
20,59,refused_vs_rest,270,0.7863247863247863
20,60,leaked_vs_not,270,0.6970894317992097
20,60,leaked_vs_approp,234,0.7079709566743798
20,60,refused_vs_rest,270,0.7606837606837608
20,61,leaked_vs_not,270,0.7169569814680838
